county_raw,year,state,total_homeless_count,shared_obs,homeless_count_calc,county
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2009,CA,340,7,49,del norte
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2007,CA,296,7,42,siskiyou
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2007,CA,296,7,42,lassen
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2007,CA,296,7,42,plumas
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2007,CA,296,7,42,modoc
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2007,CA,296,7,42,sierra
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2007,CA,296,7,42,shasta
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2007,CA,296,7,42,del norte
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,CA,851,7,122,siskiyou
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,CA,851,7,122,lassen
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,CA,851,7,122,plumas
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,CA,851,7,122,modoc
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,CA,851,7,122,sierra
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,CA,851,7,122,shasta
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,CA,851,7,122,del norte
Richmond/Contra Costa County CoC,2010,CA,2759,1,2759,contra costa
Richmond/Contra Costa County CoC,2014,CA,2009,1,2009,contra costa
Richmond/Contra Costa County CoC,2009,CA,2759,1,2759,contra costa
Richmond/Contra Costa County CoC,2015,CA,2031,1,2031,contra costa
Richmond/Contra Costa County CoC,2008,CA,4062,1,4062,contra costa
Richmond/Contra Costa County CoC,2011,CA,2415,1,2415,contra costa
