name,class,fault_id,county,length_km,time,slip_rate
hatchet mountain fault,A,197,shasta,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
hat creek fault zone,A,9,lassen,59,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
hathaway creek fault,A,415,mendocino,14,late Quaternary (<130 ka),Unspecified
hays canyon range fault zone,A,1464,lassen,52,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
"hayward fault zone, northern hayward section",A,55a,contra costa,42,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"hayward fault zone, southeast extension section",A,55c,alameda,30,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"hayward fault zone, southern hayward section",A,55b,santa clara,42,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
healdsburg fault,A,31,sonoma,31,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"helendale-south lockhart fault zone, helendale section",A,110b,san bernardino,63,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"helendale-south lockhart fault zone, northern san bernardino mountains section",A,110c,san bernardino,20,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
"helendale-south lockhart fault zone, south lockhart section",A,110a,kern,50,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
hermit fault,A,489,san mateo,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
hidden spring fault zone,A,313,riverside,31,latest Quaternary (<15 ka),Unspecified
hilton creek fault,A,44,mono,30,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
hollywood fault,A,102,los angeles,14,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
homestead valley fault zone,A,116,san bernardino,31,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
honeydew fault zone,A,155,humboldt,NA,late Quaternary (<130 ka),Unspecified
honey lake fault zone,A,22,plumas,98,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
hosgri fault zone,A,81b,san luis obispo,NA,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
hosgri fault zone,A,81a,san luis obispo,NA,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
hot springs fault,A,311,imperial,17,latest Quaternary (<15 ka),Unspecified
huckleberry meadows fault,A,783,shasta,17,undifferentiated Quaternary (<1.6 Ma),Insufficient data
humbug mountain fault,A,393,san bernardino,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
"hunter mountain- saline valley fault zone, hunter mountain section",A,66b,inyo,42,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"hunter mountain- saline valley fault zone, saline valley section",A,66a,inyo,31,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"hunting creek-berryessa fault system, hunting creek section",A,35b,lake,17,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"hunting creek-berryessa fault system, lake berryessa section",A,35c,napa,28,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"hunting creek-berryessa fault system, wilson section",A,35a,yolo,20,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
huntoon valley fault system,A,1302,mono,39,latest Quaternary (<15 ka),Less than 0.2 mm/yr
imperial fault,A,132,imperial,46,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
