City,Population
Strawberry,"5,759"
Greenacres,"5,757"
Cambria,"5,725"
Yosemite Lakes,"5,647"
Twin Lakes,"5,642"
Salton City,"5,611"
Rancho Murieta,"5,603"
Palermo,"5,544"
Old Fig Garden,"5,529"
Dos Palos,"5,527"
El Cerrito,"5,471"
Indian Wells,"5,470"
Woodside,"5,458"
Bear Valley Springs,"5,442"
Lucerne Valley,"5,423"
Kensington,"5,415"
Williams,"5,408"
Tara Hills,"5,405"
Jamul,"5,384"
Bret Harte,"5,319"
Wilton,"5,307"
Myrtletown,"5,290"
Broadmoor,"5,286"
Big Bear Lake,"5,279"
Burbank,"5,252"
Calistoga,"5,247"
Lake Wildwood,"5,208"
Denair,"5,131"
Buellton,"5,102"
Mayfair,"5,091"
Garnet,"5,057"
Lakeport,"5,006"
Highgrove,"4,986"
Needles,"4,976"
Lake San Marcos and Willits,"4,890"
Sonora,"4,864"
Jackson,"4,840"
Guerneville,"4,808"
Santa Venetia,"4,790"
Lincoln Village,"4,768"
Oak View,"4,720"
Boulder Creek,"4,712"
Fetters Hot Springs-Agua Caliente,"4,697"
Heber,"4,686"
Brisbane,"4,671"
Emerald Lake Hills,"4,594"
Portola Valley,"4,568"
Highlands-Baywood Park,"4,564"
Paradise town,"4,476"
Bonsall,"4,464"
Sunnyside,"4,451"
Planada,"4,418"
Mather,"4,408"
Santa Ynez,"4,401"
Ford City,"4,365"
Pacheco,"4,355"
Del Mar,"4,319"
Copperopolis,"4,299"
Running Springs,"4,296"
Carmel Valley Village,"4,293"
Wrightwood and Phoenix Lake,"4,283"
Humboldt Hill,"4,268"
Mountain View Acres,"4,260"
North Richmond,"4,233"
Mojave,"4,230"
Harbison Canyon,"4,223"
Ivanhoe,"4,198"
Del Monte Forest,"4,197"
McSwain and Lake of the Pines,"4,137"
West Menlo Park,"4,116"
Bystrom,"4,099"
Morada,"4,068"
North El Monte,"4,028"
San Joaquin,"4,021"
Angels,"3,956"
Clearlake Riviera,"3,933"
Vine Hill,"3,887"
Lenwood,"3,884"
Wheatland,"3,873"
Shingle Springs and Woodbridge,"3,865"
French Camp,"3,857"
Carmel-by-the-Sea,"3,811"
Felton,"3,810"
Burney,"3,807"
Moss Beach,"3,799"
Camino Tassajara,"3,798"
Pixley and Mission Hills,"3,796"
Armona,"3,795"
Esparto,"3,783"
Las Lomas,"3,755"
Bishop,"3,747"
Agua Dulce,"3,728"
Freedom,"3,719"
Brooktrails,"3,709"
Forestville,"3,685"
Avalon,"3,681"
Empire,"3,667"
Kennedy,"3,665"
Arbuckle,"3,636"
Stallion Springs and Riverdale,"3,625"
Reliez Valley,"3,575"
Hoopa,"3,573"
Pajaro,"3,561"
Greenfield,"3,534"
Meiners Oaks,"3,508"
Mono Vista,"3,504"
Auburn Lake Trails,"3,499"
Campo,"3,482"
Meadow Vista,"3,460"
Lake Isabella,"3,454"
Squaw Valley,"3,449"
Day Valley,"3,439"
Valley Springs,"3,428"
Monte Sereno,"3,427"
"Angwin, Oakhurst, and El Verano","3,424"
Lockeford and Tarpey Village,"3,390"
Hidden Meadows,"3,386"
Vandenberg AFB,"3,379"
Cabazon,"3,367"
Casa Conejo,"3,366"
Loyola,"3,364"
Rio Dell,"3,349"
East Oakdale,"3,344"
Desert Edge,"3,343"
Kelseyville,"3,332"
Goshen,"3,316"
Terra Bella,"3,304"
Cottonwood,"3,289"
Lake California,"3,281"
Mount Shasta,"3,274"
Morongo Valley,"3,262"
Weaverville,"3,240"
Tipton,"3,218"
East Richmond Heights,"3,214"
Seacliff,"3,201"
South Oroville,"3,181"
Santa Rosa Valley,"3,180"
Marin City,"3,173"
Anza,"3,151"
Nevada City,"3,148"
Pine Hills,"3,146"
North Lakeport,"3,141"
Coronita,"3,138"
Rollingwood,"3,110"
Crockett and Cambrian Park,"3,094"
Loma Rica,"3,088"
San Andreas,"3,085"
Ridgemark,"3,062"
San Antonio Heights,"3,034"
Meadowbrook,"3,033"
Cutten,"3,029"
Montalvin Manor,"3,023"
Oasis,"3,020"
Bonny Doon,"3,009"
Val Verde,"2,996"
Sutter,"2,994"
San Miguel,"2,993"
Vista Santa Rosa,"2,967"
Yountville,"2,966"
Penngrove,"2,961"
Lucerne,"2,956"
Winchester,"2,931"
La Selva Beach,"2,917"
Strathmore,"2,915"
Hartley,"2,907"
Fairbanks Ranch,"2,901"
North Shore,"2,892"
Lake Nacimiento,"2,884"
Channel Islands Beach,"2,864"
Kings Beach and Granite Hills,"2,833"
Amesti,"2,832"
San Miguel CDP,"2,807"
Caruthers,"2,773"
Dixon Lane-Meadow Creek,"2,760"
Mission Canyon,"2,755"
Crest,"2,746"
Weed,"2,725"
Homestead Valley,"2,723"
Cayucos and Montara,"2,692"
Jamestown,"2,687"
Kelly Ridge,"2,679"
Pine Mountain Lake,"2,671"
Georgetown,"2,668"
West Bishop,"2,661"
Collierville,"2,642"
Dogtown,"2,629"
Sutter Creek and East Quincy,"2,622"
Bayview CDP,"2,617"
Bella Vista,"2,614"
Rose Hills,"2,612"
Richgrove,"2,611"
Arnold,"2,605"
Lexington Hills,"2,603"
Rancho Santa Fe,"2,591"
Edwards AFB,"2,571"
Frazier Park,"2,570"
Lakeview,"2,566"
Alturas,"2,563"
Aromas,"2,553"
Green Acres,"2,542"
Twain Harte,"2,523"
Santa Nella,"2,508"
Desert View Highlands,"2,496"
Parksdale,"2,493"
Auberry,"2,476"
Ahwahnee,"2,461"
Idyllwild-Pine Cove,"2,459"
Ross,"2,451"
Poplar-Cotton Center,"2,436"
Sky Valley,"2,430"
Taft Heights,"2,424"
Hayfork,"2,421"
Rouse,"2,420"
Three Rivers,"2,397"
Nice,"2,393"
Bell Canyon,"2,391"
Corralitos,"2,381"
Patterson Tract,"2,351"
Brookdale,"2,345"
Boron,"2,312"
Pine Canyon,"2,294"
Soulsbyville,"2,286"
Clearlake Oaks,"2,279"
Shingletown,"2,272"
Westmorland,"2,254"
Borrego Springs,"2,252"
Buckhorn,"2,246"
Weedpatch,"2,238"
Romoland,"2,227"
Hamilton City,"2,224"
Columbia,"2,217"
Easton,"2,206"
Sleepy Hollow,"2,200"
East Sonora,"2,189"
Weldon,"2,181"
Laton,"2,166"
Chester,"2,116"
Belvedere and San Juan Bautista,"2,104"
Murphys,"2,100"
Mountain View,"2,066"
Bertsch-Oceanview,"2,042"
Piru,"2,019"
Bethel Island,"2,010"
Colfax,"2,002"
Rainbow,"1,994"
Aptos Hills-Larkin Valley,"1,993"
Calwa,"1,974"
Wofford Heights,"1,973"
Bayview,"1,954"
China Lake Acres,"1,947"
Lost Hills,"1,943"
San Pasqual,"1,932"
Red Corral and Portola,"1,930"
Rancho Tehama Reserve,"1,922"
Warm Springs,"1,903"
Elizabeth Lake and Quincy,"1,895"
Hidden Hills,"1,890"
Biggs,"1,879"
Graton,"1,877"
Fairmead,"1,876"
London,"1,854"
Parkwood,"1,853"
Woodville,"1,852"
Rolling Hills city and Los Molinos,"1,845"
Lone Pine,"1,837"
Lake Sherwood,"1,835"
Shasta,"1,804"
Pine Mountain Club,"1,803"
Lebec,"1,802"
Camino,"1,799"
Linden,"1,790"
Littlerock,"1,766"
Woodlands,"1,743"
Toro Canyon,"1,735"
Pine Grove and Los Ranchos,"1,730"
Le Grand,"1,726"
Monument Hills,"1,700"
Seeley,"1,699"
South Dos Palos,"1,682"
Pine Valley,"1,669"
Black Point-Green Point,"1,655"
Del Rey Oaks,"1,654"
Searles Valley,"1,646"
Descanso,"1,644"
Home Garden and Coarsegold,"1,643"
Los Alamos,"1,623"
Lower Lake,"1,595"
Buttonwillow,"1,591"
Callender,"1,583"
Leona Valley,"1,581"
Tuolumne City,"1,577"
Green Valley CDP,"1,572"
Big Pine,"1,568"
Temelec and Dunsmuir,"1,564"
Foresthill,"1,546"
Westwood,"1,545"
Willow Creek,"1,539"
South Taft,"1,526"
Forest Meadows,"1,516"
Lagunitas-Forest Knolls,"1,504"
Knightsen,"1,500"
Del Rey,"1,498"
Colma,"1,489"
Ladera,"1,465"
Biola,"1,451"
Irwindale,"1,446"
Pioneer,"1,443"
Chualar,"1,442"
Penn Valley,"1,424"
Montague,"1,398"
Midpines,"1,396"
Kettleman City,"1,395"
Bodfish,"1,384"
Redwood Valley,"1,376"
Allendale,"1,362"
Thermal,"1,359"
Herlong,"1,353"
Ferndale,"1,352"
Mariposa and Eldridge,"1,351"
Byron,"1,348"
Lewiston,"1,340"
Malaga,"1,337"
Mountain Ranch,"1,306"
Woodacre,"1,303"
Riverdale Park,"1,301"
